@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric

@data
1,'2019/12/18 13:00:54:603',1,378,30,48,2,885,2,24,0,?,?,?,?,?
2,'2019/12/18 13:00:54:608',1,378,30,48,2,885,2,24,0,?,?,?,?,?
3,'2019/12/18 13:00:54:608',1,378,30,48,2,885,2,24,0,?,?,?,?,?
4,'2019/12/18 13:00:54:608',1,378,30,48,3,885,2,24,0,?,?,?,?,?
5,'2019/12/18 13:00:54:608',1,378,30,48,3,885,2,24,0,?,?,?,?,?
6,'2019/12/18 13:00:54:608',1,378,30,48,3,885,2,24,0,?,?,?,?,?
7,'2019/12/18 13:00:54:608',1,378,30,48,3,885,2,23,0,?,?,?,?,?
8,'2019/12/18 13:00:54:652',1,394,30,48,3,885,2,23,0,?,?,?,?,?
9,'2019/12/18 13:00:54:652',1,394,30,48,3,885,2,23,0,?,?,?,?,?
10,'2019/12/18 13:00:54:652',1,394,30,49,3,885,2,23,0,?,?,?,?,?
11,'2019/12/18 13:00:54:652',1,394,30,49,3,885,2,23,0,?,?,?,?,?
12,'2019/12/18 13:00:54:652',1,394,30,49,3,884,2,23,0,?,?,?,?,?
13,'2019/12/18 13:00:54:652',1,394,30,49,3,884,1,23,0,?,?,?,?,?
14,'2019/12/18 13:00:54:653',1,394,30,49,3,884,1,23,0,?,?,?,?,?
15,'2019/12/18 13:00:54:702',1,443,30,49,3,884,1,23,0,?,?,?,?,?
16,'2019/12/18 13:00:54:702',1,443,30,49,3,884,1,23,0,?,?,?,?,?
17,'2019/12/18 13:00:54:702',1,443,30,49,3,884,1,23,0,?,?,?,?,?
18,'2019/12/18 13:00:54:702',1,443,30,49,3,884,1,23,0,?,?,?,?,?
19,'2019/12/18 13:00:54:702',1,443,30,49,3,884,1,23,0,?,?,?,?,?
20,'2019/12/18 13:00:54:703',1,443,30,49,3,884,2,23,0,?,?,?,?,?
21,'2019/12/18 13:00:54:703',1,443,30,49,3,884,2,24,0,?,?,?,?,?
22,'2019/12/18 13:00:54:749',1,467,30,49,3,884,2,24,0,?,?,?,?,?
23,'2019/12/18 13:00:54:749',1,467,30,49,3,884,2,24,0,?,?,?,?,?
24,'2019/12/18 13:00:54:749',1,467,30,49,3,884,2,24,0,?,?,?,?,?
25,'2019/12/18 13:00:54:749',1,467,30,49,3,884,2,24,0,?,?,?,?,?
26,'2019/12/18 13:00:54:749',1,467,30,49,3,884,2,24,0,?,?,?,?,?
27,'2019/12/18 13:00:54:749',1,467,30,49,3,884,1,24,0,?,?,?,?,?
28,'2019/12/18 13:00:54:750',1,467,30,49,3,884,1,23,0,?,?,?,?,?
29,'2019/12/18 13:00:54:796',1,484,30,49,3,884,1,23,0,?,?,?,?,?
30,'2019/12/18 13:00:54:797',1,484,30,49,3,884,1,23,0,?,?,?,?,?
