@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
663,'2022/04/20 17:57:30:420',5,99,19,9,2,2,2,2,0.5,1,?,?,?,?,?
664,'2022/04/20 17:57:30:577',5,97,17,9,2,2,2,2,0.5,1,?,?,?,?,?
665,'2022/04/20 17:57:30:733',5,99,19,9,1,2,2,2,0.5,1,?,?,?,?,?
666,'2022/04/20 17:57:30:889',5,101,20,9,1,2,2,2,0.5,1,?,?,?,?,?
667,'2022/04/20 17:57:31:045',5,138,24,8,1,2,2,2,0.5,1,?,?,?,?,?
668,'2022/04/20 17:57:31:202',5,178,34,9,2,2,2,2,0.5,1,?,?,?,?,?
669,'2022/04/20 17:57:31:359',5,184,38,8,2,2,2,2,0.5,1,?,?,?,?,?
670,'2022/04/20 17:57:31:517',5,182,41,9,1,2,2,2,0.5,1,?,?,?,?,?
671,'2022/04/20 17:57:31:673',5,131,29,9,2,2,2,2,0.5,1,?,?,?,?,?
672,'2022/04/20 17:57:31:828',5,126,18,9,2,2,2,2,0.5,1,?,?,?,?,?
673,'2022/04/20 17:57:31:986',5,133,16,9,1,2,2,2,0.5,1,?,?,?,?,?
674,'2022/04/20 17:57:32:141',5,140,17,9,2,2,2,2,0.5,1,?,?,?,?,?
675,'2022/04/20 17:57:32:296',5,140,19,8,2,1,2,2,0.5,1,?,?,?,?,?
676,'2022/04/20 17:57:32:452',5,129,21,9,2,2,2,2,0.5,1,?,?,?,?,?
677,'2022/04/20 17:57:32:607',5,119,23,9,2,2,2,2,0.5,1,?,?,?,?,?
678,'2022/04/20 17:57:32:763',5,113,24,9,2,2,2,2,0.5,1,?,?,?,?,?
679,'2022/04/20 17:57:32:919',5,106,20,9,1,2,1,2,0.5,1,?,?,?,?,?
680,'2022/04/20 17:57:33:074',5,109,19,8,2,2,2,2,0.5,1,?,?,?,?,?
681,'2022/04/20 17:57:33:230',5,111,24,8,2,2,2,2,0.5,1,?,?,?,?,?
682,'2022/04/20 17:57:33:387',5,113,32,8,2,2,2,2,0.5,1,?,?,?,?,?
683,'2022/04/20 17:57:33:545',5,110,46,8,2,2,2,2,0.5,1,?,?,?,?,?
684,'2022/04/20 17:57:33:701',5,105,57,9,2,2,2,2,0.5,1,?,?,?,?,?
685,'2022/04/20 17:57:33:857',5,106,60,9,2,2,2,1,0.5,1,?,?,?,?,?
686,'2022/04/20 17:57:34:013',5,104,54,9,2,2,2,2,0.5,1,?,?,?,?,?
687,'2022/04/20 17:57:34:170',5,103,41,9,1,2,2,2,0.5,1,?,?,?,?,?
688,'2022/04/20 17:57:34:326',5,104,30,9,1,2,2,2,0.5,1,?,?,?,?,?
689,'2022/04/20 17:57:34:482',5,103,25,9,1,2,2,2,0.5,1,?,?,?,?,?
690,'2022/04/20 17:57:34:638',5,104,22,9,1,2,2,2,0.5,1,?,?,?,?,?
691,'2022/04/20 17:57:34:794',5,106,22,9,2,2,1,2,0.5,1,?,?,?,?,?
692,'2022/04/20 17:57:34:949',5,113,22,9,2,2,2,2,0.5,1,?,?,?,?,?
693,'2022/04/20 17:57:35:105',5,131,20,9,2,2,2,2,0.5,1,?,?,?,?,?
694,'2022/04/20 17:57:35:261',5,146,20,9,2,2,2,2,0.5,1,?,?,?,?,?
695,'2022/04/20 17:57:35:415',5,154,21,9,2,2,2,2,0.5,1,?,?,?,?,?
696,'2022/04/20 17:57:35:569',5,146,21,8,2,2,2,2,0.5,1,?,?,?,?,?
697,'2022/04/20 17:57:35:724',5,126,20,9,2,2,2,2,0.5,1,?,?,?,?,?
698,'2022/04/20 17:57:35:879',5,109,17,9,2,2,2,2,0.5,1,?,?,?,?,?
699,'2022/04/20 17:57:36:035',5,104,17,9,2,2,2,2,0.5,1,?,?,?,?,?
